"runtime","#high-level expanded","#high-level generated","#low-level expanded","#low-level generated","solution cost","min f value","root g value","root f value","#adopt bypasses","standard conflicts","rectangle conflicts","corridor conflicts","target conflicts","mutex conflicts","duplicate conflicts","#merge MDDs","#solve 2 agents","#memoization","runtime of building heuristic graph","runtime of solving MVC","runtime of detecting conflicts","runtime of rectangle conflicts","runtime of corridor conflicts","runtime of mutex conflicts","runtime of duplicate conflicts","runtime of building MDDs","runtime of building constraint tables","runtime of building CATs","runtime of path finding","runtime of generating child nodes","num_of_descendants","preprocessing runtime","solver name","instance name"
60.0001,77471,519677,24683830,37532082,-1,75,44,62,10450,30550,0,37,0,3274,6490,0,107780,169015,23.5362,0.103467,1.60847,0.244161,2.1282,11.9151,1.20828,0.449839,0.614229,0.671809,11.5369,13.6883,604022,1.8E-05,"WDG+GR+GC+M+BP+DUP with AStar","input/SmallComplicated/SmallConnector.scen:"
60,42571,84818,5886833,8354252,-1,75,44,62,15256,38544,0,40,0,3987,0,0,191356,38332,35.3773,0.094053,0.089946,0.26635,1.37259,14.1037,0,0.814058,0.109653,0.126451,2.5576,2.77022,102842,1.7E-05,"WDG+GR+GC+M+BP with AStar","input/SmallComplicated/SmallConnector.scen:"
0.001047,4,7,193,413,32,32,28,32,1,1,0,0,0,2,0,0,7,0,0.000522,2e-06,2.3e-05,1e-06,3.8e-05,0.000192,1.3e-05,3.6e-05,2e-06,5e-06,8.5e-05,0.00011,8,1.4e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallComplicated/SmallCorners.scen:
0.000823,4,7,193,413,32,32,28,32,1,1,0,0,0,2,0,0,7,0,0.000381,3e-06,3e-06,2e-06,3.6e-05,0.000171,0,2.7e-05,2e-06,3e-06,7.4e-05,8.2e-05,8,1.1e-05,WDG+GR+GC+M+BP with AStar,input/SmallComplicated/SmallCorners.scen:
60.0002,77150,206776,3184429,5461352,-1,39,16,26,6927,57410,151,1006,0,12251,1094,0,217261,111174,28.1422,0.986286,0.487548,0.202971,1.93063,12.625,0.294161,0.823505,0.140594,0.114535,1.82298,2.55197,239838,1.4e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallComplicated/SmallLoopchain.scen:
60.0006,88334,169852,3046883,5043435,-1,39,16,26,10117,71486,185,1310,0,15353,0,0,267672,110297,25.8289,1.01769,0.157499,0.222612,2.07489,14.4966,0,0.963751,0.122777,0.114399,1.71954,2.099,190631,1.4e-05,WDG+GR+GC+M+BP with AStar,input/SmallComplicated/SmallLoopchain.scen:
0.00037,2,5,60,152,20,20,18,20,0,0,0,0,0,2,0,0,4,0,0.000171,3e-06,1.1e-05,0,4e-06,5.9e-05,5e-06,1.1e-05,0,1e-06,2e-05,3e-05,4,1.2e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallComplicated/SmallString.scen:
0.000315,2,5,60,152,20,20,18,20,0,0,0,0,0,2,0,0,4,0,0.000143,3e-06,2e-06,1e-06,6e-06,6e-05,0,1.1e-05,1e-06,1e-06,2e-05,2.5e-05,4,1.2e-05,WDG+GR+GC+M+BP with AStar,input/SmallComplicated/SmallString.scen:
0.012141,33,68,933,1681,16,16,6,9,10,15,0,1,0,16,16,0,84,1,0.007566,5.8e-05,0.000146,1.7e-05,5.8e-05,0.002586,8.6e-05,0.000177,2.4e-05,4.3e-05,0.000443,0.000623,83,1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallComplicated/SmallTree.scen:
0.010124,33,63,913,1612,16,16,6,9,8,15,0,1,0,17,0,0,85,0,0.00588,5e-05,2.8e-05,2.2e-05,5.2e-05,0.002537,0,0.000169,2.8e-05,3.6e-05,0.000452,0.000535,78,7e-06,WDG+GR+GC+M+BP with AStar,input/SmallComplicated/SmallTree.scen:
60,59572,210677,4434964,7120650,-1,31,9,30,8529,0,0,1,0,29782,4357,0,34825,525706,15.1541,0.820311,0.549961,0.239294,4.95645,19.7397,0.374513,0.036697,0.172584,0.205642,2.51338,3.33366,344995,1.1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallComplicated/SmallTunnel.scen:
